-0.000001362000,-0.000001361614,0.012836
-0.000001361000,-0.000001360614,0.001008
-0.000001360000,-0.000001359614,0.001008
-0.000001359000,-0.000001358614,0.012836
-0.000001358000,-0.000001357614,0.001008
-0.000001357000,-0.000001356614,0.001008
-0.000001356000,-0.000001355614,0.001008
-0.000001355000,-0.000001354614,0.001008
-0.000001354000,-0.000001353614,0.012836
-0.000001353000,-0.000001352614,0.012836
-0.000001352000,-0.000001351614,0.012836
-0.000001351000,-0.000001350614,0.012836
-0.000001350000,-0.000001349614,0.012836
-0.000001349000,-0.000001348614,0.001008
-0.000001348000,-0.000001347614,0.001008
-0.000001347000,-0.000001346614,0.001008
-0.000001346000,-0.000001345614,0.001008
-0.000001345000,-0.000001344614,0.001008
-0.000001344000,-0.000001343614,0.001008
-0.000001343000,-0.000001342614,0.012836
-0.000001342000,-0.000001341614,0.012836
-0.000001341000,-0.000001340614,0.012836
-0.000001340000,-0.000001339614,0.012836
-0.000001339000,-0.000001338614,0.001008
-0.000001338000,-0.000001337614,0.001008
-0.000001337000,-0.000001336614,0.001008
-0.000001336000,-0.000001335614,0.001008
-0.000001335000,-0.000001334614,0.001008
-0.000001334000,-0.000001333614,0.012836
-0.000001333000,-0.000001332614,0.012836
-0.000001332000,-0.000001331614,0.012836
-0.000001331000,-0.000001330614,0.012836
-0.000001330000,-0.000001329614,0.012836
-0.000001329000,-0.000001328614,0.012836
-0.000001328000,-0.000001327614,0.012836
-0.000001327000,-0.000001326614,0.001008
-0.000001326000,-0.000001325614,0.001008
-0.000001325000,-0.000001324614,0.001008
-0.000001324000,-0.000001323614,0.001008
-0.000001323000,-0.000001322614,0.012836
-0.000001322000,-0.000001321614,0.012836
-0.000001321000,-0.000001320614,0.012836
-0.000001320000,-0.000001319614,0.012836
-0.000001319000,-0.000001318614,0.012836
-0.000001318000,-0.000001317614,0.001008
-0.000001317000,-0.000001316614,0.001008
-0.000001316000,-0.000001315614,0.001008
-0.000001315000,-0.000001314614,0.012836
